cultivo_id,tipo_suelo_id,temperatura,humedad,ph,nitrogeno,fosforo,potasio,materia_organica,conductividad_electrica,fertilizante_codigo,cantidad_kg
6.0,5.0,28.1,95.0,6.91,14.08,13.14,158.11,2.14,1.746,UREA-46,176.7
11.0,7.0,19.07,65.64,6.92,21.12,46.02,200.2,0.661,0.24,UREA-46,120.0
3.0,7.0,20.83,76.72,5.15,6.14,39.21,76.72,5.093,0.14,UREA-46,180.3
9.0,1.0,15.9,27.01,7.41,29.59,28.14,311.76,2.708,1.247,DAP-18-46,156.8
5.0,6.0,19.36,80.12,6.19,17.85,72.22,30.0,5.256,0.138,SA-21,311.2
8.0,7.0,22.78,67.61,7.82,78.41,31.45,389.34,5.059,0.344,DAP-18-46,245.2
4.0,3.0,21.84,50.33,7.86,69.73,9.58,180.86,1.467,1.352,MAP-12-61,116.9
8.0,2.0,29.98,95.0,6.76,8.62,15.91,131.65,4.453,0.169,UREA-46,227.6
12.0,4.0,22.1,62.4,6.8,60.2,7.97,219.78,3.971,2.411,DAP-18-46,223.8
5.0,5.0,21.92,41.76,5.95,48.54,39.04,148.13,6.248,1.468,DAP-18-46,181.0
1.0,1.0,10.74,35.96,5.53,20.68,18.97,118.82,3.778,1.775,NPK-15-15-15,191.7
1.0,4.0,20.88,93.49,7.07,19.78,10.57,327.28,4.013,0.163,NPK-15-15-15,284.1
4.0,5.0,16.38,47.38,5.8,22.3,39.63,288.45,3.46,1.174,UREA-46,137.8
5.0,4.0,7.33,91.93,6.79,16.38,34.4,190.34,0.546,3.085,UREA-46,239.8
4.0,8.0,20.89,69.03,5.49,46.71,33.11,139.1,7.309,3.897,DAP-18-46,167.6
5.0,5.0,15.59,57.28,5.77,29.69,6.7,293.24,3.909,0.345,DAP-18-46,218.2
10.0,1.0,16.74,47.94,4.8,96.34,28.53,57.62,0.952,0.1,KCL-60,162.3
11.0,6.0,13.97,53.21,6.6,34.64,25.7,270.37,1.01,0.534,DAP-18-46,146.5
7.0,3.0,19.19,62.4,5.68,8.76,18.83,188.51,4.235,0.906,UREA-46,178.7
12.0,1.0,25.48,27.68,5.89,87.3,73.8,117.77,3.082,0.788,DAP-18-46,103.8
12.0,8.0,23.61,87.89,6.85,5.15,6.17,219.15,3.144,0.408,DAP-18-46,114.9
8.0,6.0,25.5,72.57,5.95,20.37,11.36,241.59,5.212,0.196,DAP-18-46,231.5
12.0,2.0,10.55,50.31,7.38,13.72,33.2,30.0,1.932,0.523,UREA-46,242.3
6.0,4.0,23.83,64.44,5.9,17.64,19.29,233.78,1.246,0.225,NPK-10-26-26,225.2
4.0,2.0,10.27,66.81,4.73,45.07,29.94,222.15,0.528,0.221,HUMUS-ORG,4700.1
6.0,3.0,27.72,93.27,5.3,110.88,19.72,30.0,0.62,0.273,KCL-60,247.6
3.0,5.0,9.39,75.46,4.83,23.59,38.46,39.71,2.116,1.634,UREA-46,240.5
5.0,8.0,21.65,37.65,6.2,43.04,14.11,199.4,0.695,1.954,DAP-18-46,174.3
11.0,8.0,8.65,57.79,6.65,60.12,7.65,271.53,0.74,3.739,DAP-18-46,120.5
10.0,1.0,10.08,60.93,7.16,63.3,49.93,264.98,5.229,0.431,KNO3-13-46,98.9
11.0,2.0,18.87,58.12,6.29,200.0,19.43,157.64,0.821,1.97,KCL-60,138.5
8.0,2.0,26.14,58.53,7.42,37.81,33.96,30.0,2.14,3.244,KCL-60,206.1
10.0,7.0,26.67,30.72,6.36,60.29,30.53,238.36,5.732,0.811,HUMUS-ORG,3385.8
2.0,6.0,21.85,61.91,6.18,42.0,10.51,163.94,1.525,1.109,DAP-18-46,209.8
1.0,3.0,6.83,59.6,6.61,49.3,12.38,109.35,0.832,4.7,UREA-46,219.7
5.0,3.0,19.64,65.91,6.42,108.26,117.88,184.35,1.784,2.729,UREA-46,134.6
3.0,5.0,15.5,63.13,6.66,25.72,25.15,376.31,1.254,1.086,DAP-18-46,173.7
1.0,8.0,17.48,82.02,7.44,14.84,60.93,270.05,1.741,0.478,UREA-46,171.5
3.0,1.0,21.04,61.39,5.38,26.52,4.42,188.17,2.401,4.91,DAP-18-46,116.4
12.0,5.0,18.26,83.55,6.34,57.72,25.85,231.04,2.341,3.039,DAP-18-46,136.8
11.0,3.0,15.21,47.89,6.49,15.24,58.23,224.48,5.781,0.1,UREA-46,223.0
5.0,6.0,27.4,71.18,5.5,10.44,11.91,192.35,1.682,0.1,UREA-46,222.8
6.0,3.0,19.5,93.39,6.11,51.45,70.88,195.53,1.395,1.847,KNO3-13-46,56.7
10.0,6.0,25.17,37.58,5.7,68.68,10.32,174.74,3.374,0.886,DAP-18-46,141.0
4.0,1.0,25.79,66.94,6.95,66.81,12.83,199.46,5.369,5.008,UREA-46,214.0
5.0,3.0,11.3,43.92,7.05,23.24,57.15,317.67,2.094,1.175,UREA-46,123.9
9.0,1.0,27.76,20.34,6.66,145.79,15.04,300.08,1.211,1.226,DAP-18-46,133.8
12.0,7.0,10.04,85.78,4.89,186.12,14.94,149.2,1.759,5.515,DAP-18-46,208.3
11.0,5.0,19.55,73.44,5.64,16.52,26.11,149.35,1.09,0.637,UREA-46,216.4
2.0,4.0,18.38,50.95,5.78,30.93,101.72,101.7,4.807,0.1,NPK-15-15-15,317.6
8.0,3.0,28.21,89.9,4.82,123.76,82.4,224.75,2.869,0.994,KNO3-13-46,116.1
4.0,6.0,16.81,88.71,6.56,73.52,4.03,137.66,4.398,1.613,DAP-18-46,174.7
2.0,6.0,12.4,78.56,5.18,58.43,10.15,171.14,3.747,2.036,DAP-18-46,163.8
4.0,4.0,8.63,95.0,6.11,101.58,57.84,134.18,2.743,3.652,SA-21,192.1
2.0,8.0,15.06,76.21,5.77,53.78,30.72,30.0,1.832,0.107,KCL-60,187.4
6.0,4.0,27.66,35.38,7.83,18.43,28.78,49.9,5.38,0.1,NPK-10-26-26,188.3
12.0,8.0,9.56,55.05,6.59,31.84,20.9,132.8,0.894,0.895,DAP-18-46,188.2
12.0,1.0,13.55,41.52,7.46,19.62,26.18,257.62,1.978,2.995,UREA-46,183.7
11.0,5.0,16.07,56.88,6.33,17.79,15.11,241.75,1.766,0.981,DAP-18-46,202.9
2.0,1.0,23.5,71.24,7.1,22.36,35.8,96.81,1.064,1.679,UREA-46,245.5
1.0,7.0,14.26,95.0,6.03,58.27,50.97,209.2,2.219,1.443,DAP-18-46,230.3
8.0,1.0,24.63,86.37,6.77,24.31,32.24,119.66,15.0,0.1,UREA-46,246.6
9.0,1.0,19.93,72.59,7.65,96.59,21.51,81.79,4.624,2.155,DAP-18-46,219.7
3.0,5.0,17.1,67.26,6.04,25.78,21.19,112.24,1.73,0.893,DAP-18-46,135.6
1.0,3.0,27.85,83.18,5.58,40.37,47.26,363.28,0.565,0.626,UREA-46,157.0
2.0,8.0,24.14,95.0,7.45,79.88,38.93,202.5,1.198,3.927,DAP-18-46,109.0
5.0,5.0,13.48,59.95,4.68,22.92,14.72,291.36,1.432,1.414,HUMUS-ORG,4148.5
1.0,5.0,12.11,60.96,6.7,13.17,21.82,205.58,2.594,0.445,UREA-46,244.4
4.0,6.0,19.34,89.55,6.31,128.82,28.15,183.25,1.147,0.357,DAP-18-46,191.6
10.0,1.0,10.54,52.53,5.55,83.65,16.76,202.32,2.944,0.902,DAP-18-46,188.0
1.0,3.0,17.52,84.68,5.02,25.7,13.22,84.8,1.242,1.5,HUMUS-ORG,2175.4
9.0,2.0,22.0,37.11,5.64,43.09,38.4,276.33,1.528,3.539,NPK-12-24-12,254.5
4.0,8.0,24.78,95.0,4.68,20.57,32.72,162.81,3.269,0.109,UREA-46,196.0
8.0,6.0,28.14,80.67,5.98,10.75,1.85,73.63,13.998,0.887,NPK-15-15-15,233.4
6.0,4.0,25.87,77.5,5.91,26.03,48.06,210.69,1.705,0.191,NPK-10-26-26,246.1
6.0,5.0,23.19,78.75,6.9,8.13,13.7,206.85,2.844,1.06,UREA-46,123.9
4.0,1.0,13.91,43.86,4.82,14.97,21.17,245.06,7.635,3.099,UREA-46,124.3
6.0,3.0,28.14,95.0,6.22,17.9,28.83,266.69,2.401,1.917,KNO3-13-46,64.1
7.0,4.0,14.72,82.66,6.84,44.84,24.05,52.18,0.875,3.428,KCL-60,265.9
4.0,3.0,13.2,71.33,7.06,3.65,5.85,204.14,2.755,4.134,DAP-18-46,231.4
12.0,7.0,10.74,75.8,7.58,22.69,5.94,299.26,0.65,7.908,DAP-18-46,108.7
8.0,7.0,14.32,59.56,5.85,39.34,149.13,275.25,1.414,1.467,UREA-46,179.1
7.0,2.0,9.8,60.95,5.15,71.29,36.34,30.0,0.548,0.451,KCL-60,252.1
10.0,8.0,9.13,68.3,6.19,17.55,28.44,167.32,0.758,1.005,UREA-46,122.5
4.0,8.0,16.96,95.0,4.97,26.54,41.42,263.19,3.413,0.863,UREA-46,138.2
10.0,2.0,30.94,54.1,6.87,51.99,28.89,119.73,0.907,2.006,DAP-18-46,176.8
5.0,8.0,15.81,68.32,4.99,22.35,39.11,222.93,0.978,0.155,HUMUS-ORG,3980.9
8.0,8.0,13.21,62.39,7.05,71.19,10.83,170.61,8.536,0.976,DAP-18-46,234.4
10.0,5.0,17.56,45.79,6.17,106.1,20.17,209.14,0.612,0.176,DAP-18-46,189.8
9.0,1.0,23.16,26.67,5.2,20.95,70.75,343.44,0.532,7.322,HUMUS-ORG,4014.4
7.0,7.0,23.03,50.35,7.29,61.45,39.34,220.23,2.469,6.267,DAP-18-46,240.6
2.0,2.0,20.4,53.28,5.72,41.13,51.85,316.18,2.731,1.065,UREA-46,144.6
3.0,7.0,22.52,71.86,7.36,20.34,19.85,111.96,4.524,0.342,DAP-18-46,183.3
7.0,3.0,14.91,45.02,6.45,17.48,36.43,91.5,0.903,0.547,DAP-18-46,231.5
5.0,2.0,13.1,27.31,6.73,47.66,22.46,119.93,0.508,1.45,NPK-15-15-15,238.9
9.0,5.0,19.09,49.96,8.19,11.2,32.27,330.93,2.813,1.693,UREA-46,220.7
12.0,4.0,24.54,39.42,6.61,60.72,107.05,140.5,2.336,0.701,UREA-46,118.4
1.0,7.0,14.17,41.4,6.9,28.65,9.57,361.67,0.991,1.737,DAP-18-46,248.7
12.0,3.0,19.82,40.22,6.85,53.7,33.16,75.93,2.049,0.984,KCL-60,187.0
5.0,4.0,17.83,95.0,7.7,65.73,6.33,204.14,3.98,1.605,MAP-12-61,175.7
8.0,4.0,12.28,47.84,5.24,74.84,13.33,166.46,0.619,1.45,HUMUS-ORG,3686.0
5.0,4.0,24.43,51.89,6.06,61.55,28.35,149.85,4.375,1.469,DAP-18-46,174.2
5.0,2.0,20.68,52.34,5.7,19.45,75.98,166.87,3.378,1.182,NPK-15-15-15,395.1
2.0,4.0,16.23,67.74,6.54,22.47,16.53,175.36,7.783,2.845,NPK-15-15-15,317.3
2.0,8.0,28.62,46.38,5.56,39.11,44.11,175.29,4.358,0.337,UREA-46,138.8
4.0,2.0,24.97,51.17,4.9,94.57,56.84,220.91,2.0,6.299,KNO3-13-46,127.2
2.0,1.0,16.39,52.46,5.51,66.47,10.02,97.0,0.745,0.873,UREA-46,129.3
12.0,2.0,16.45,51.87,5.47,29.65,22.45,265.07,2.54,0.272,NPK-15-15-15,303.4
3.0,3.0,15.99,57.73,5.34,35.33,28.95,292.98,9.038,0.811,NPK-15-15-15,396.0
5.0,6.0,11.63,72.71,6.03,22.01,8.88,387.17,3.677,3.314,DAP-18-46,111.9
5.0,3.0,20.03,59.68,6.35,66.14,18.39,170.55,2.037,0.664,DAP-18-46,174.1
3.0,4.0,12.0,55.91,6.96,16.98,10.68,106.21,1.996,2.072,DAP-18-46,197.7
6.0,1.0,17.38,87.05,6.23,16.08,36.77,90.29,0.68,0.288,UREA-46,228.4
12.0,1.0,14.94,79.0,7.44,43.81,17.19,74.66,7.464,3.074,KCL-60,253.2
3.0,4.0,10.73,80.02,6.45,46.13,2.83,30.0,5.498,1.187,KCL-60,176.1
11.0,4.0,17.7,59.55,6.55,150.66,51.25,219.62,10.516,1.457,KNO3-13-46,105.9
12.0,7.0,31.2,74.58,4.88,13.81,1.67,222.26,4.851,0.116,DAP-18-46,134.0
9.0,4.0,15.86,79.3,6.7,94.11,8.52,140.33,4.392,1.278,DAP-18-46,198.8
4.0,5.0,12.44,69.29,7.08,96.98,18.09,234.23,1.453,0.855,DAP-18-46,216.1
9.0,3.0,17.18,82.15,7.65,52.4,35.55,51.84,0.775,0.728,KCL-60,197.5
6.0,4.0,18.74,74.93,6.24,58.69,4.61,74.4,2.099,0.1,KCL-60,128.0
12.0,2.0,9.56,63.5,4.85,23.08,22.24,119.83,4.556,1.273,NPK-15-15-15,278.2
11.0,6.0,17.04,77.08,6.39,11.07,18.81,181.7,2.201,1.817,UREA-46,248.9
1.0,8.0,7.18,36.49,6.44,49.99,12.8,191.74,1.245,0.1,DAP-18-46,190.6
2.0,2.0,16.39,48.96,4.26,11.56,18.18,186.15,0.709,0.657,UREA-46,241.3
9.0,2.0,25.06,33.79,6.39,96.56,37.36,120.42,0.883,0.1,NPK-12-24-12,184.4
3.0,3.0,34.07,56.26,4.44,65.91,32.82,247.65,1.905,1.677,NPK-15-15-15,218.8
5.0,6.0,16.41,90.8,6.68,90.4,61.66,124.55,2.682,0.696,SA-21,270.2
4.0,4.0,12.08,91.68,5.97,10.08,57.31,145.59,0.564,1.557,UREA-46,195.5
11.0,7.0,17.1,52.15,7.2,41.32,22.01,143.03,0.879,0.997,DAP-18-46,104.1
11.0,3.0,17.39,72.37,5.21,9.14,34.88,151.6,6.259,0.185,UREA-46,243.4
5.0,3.0,19.44,81.27,4.81,19.21,25.04,85.58,2.451,2.153,UREA-46,225.0
3.0,3.0,11.62,49.28,5.06,141.42,28.28,34.02,0.875,0.881,KCL-60,225.2
11.0,4.0,19.75,81.19,7.96,24.63,17.48,134.58,2.458,0.388,MAP-12-61,176.4
5.0,2.0,19.6,95.0,5.87,74.64,12.69,86.19,10.407,0.991,NPK-15-15-15,365.9
7.0,2.0,37.53,42.6,4.57,56.91,71.84,113.48,6.121,0.913,NPK-15-15-15,260.9
4.0,7.0,24.99,61.32,6.08,43.59,35.5,160.69,3.707,1.769,DAP-18-46,120.2
5.0,8.0,14.83,83.25,6.39,81.71,121.16,151.48,3.005,0.107,UREA-46,100.8
8.0,5.0,20.8,73.75,6.51,17.77,14.85,258.0,3.407,0.1,DAP-18-46,145.9
8.0,3.0,24.58,95.0,5.56,85.51,8.44,174.28,3.596,1.649,KCL-60,142.2
2.0,7.0,8.44,51.36,5.78,7.4,27.4,276.21,1.119,0.1,UREA-46,132.2
3.0,1.0,13.79,75.5,6.81,36.23,54.23,245.45,2.368,0.933,NPK-15-15-15,208.7
5.0,8.0,21.14,33.71,5.57,24.69,60.09,244.98,1.292,0.772,UREA-46,115.4
1.0,2.0,22.24,81.74,7.0,46.06,22.17,166.09,0.716,4.008,NPK-12-24-12,265.3
11.0,3.0,24.42,68.41,6.97,125.33,20.53,166.43,3.311,0.185,DAP-18-46,106.3
1.0,4.0,26.54,81.67,7.07,151.49,41.05,195.79,1.385,0.167,NPK-15-15-15,345.5
12.0,5.0,17.16,56.9,6.2,35.68,18.65,82.34,1.654,0.1,DAP-18-46,215.1
2.0,5.0,19.96,70.41,6.76,29.87,60.05,94.25,2.84,0.525,SA-21,177.3
7.0,4.0,12.78,85.26,5.13,68.17,9.57,228.25,1.646,0.1,DAP-18-46,116.7
10.0,5.0,22.44,55.76,5.99,32.19,25.19,242.77,0.525,0.936,DAP-18-46,244.5
12.0,2.0,10.92,85.06,6.84,43.06,100.28,227.35,0.82,0.463,NPK-15-15-15,154.4
5.0,1.0,18.61,92.88,5.08,2.72,14.4,184.07,5.194,0.1,UREA-46,234.8
1.0,7.0,16.66,91.82,4.76,8.58,11.17,48.54,3.94,0.963,NPK-15-15-15,164.5
10.0,8.0,18.13,69.15,5.07,15.64,12.64,224.62,2.659,0.238,DAP-18-46,221.7
8.0,4.0,27.48,46.73,5.47,103.5,16.54,173.92,3.575,0.1,DAP-18-46,122.1
5.0,4.0,12.99,95.0,4.75,38.7,32.89,151.4,4.612,0.923,DAP-18-46,182.0
3.0,6.0,17.65,85.22,6.47,19.33,130.24,227.86,3.191,0.173,UREA-46,195.5
12.0,8.0,21.28,62.97,4.84,35.18,66.44,134.19,0.533,0.1,HUMUS-ORG,4488.2
11.0,5.0,20.56,65.34,5.62,38.36,38.83,76.54,3.246,0.266,KCL-60,213.0
6.0,5.0,16.12,64.99,5.07,28.55,50.69,201.27,1.9,0.1,UREA-46,172.1
10.0,4.0,13.45,36.81,4.99,58.12,67.96,227.02,1.604,2.324,NPK-15-15-15,212.8
4.0,5.0,26.27,42.59,5.56,107.17,3.11,182.61,0.599,0.1,DAP-18-46,126.3
2.0,8.0,8.76,95.0,6.69,80.05,15.64,156.75,7.818,3.346,DAP-18-46,162.9
4.0,7.0,15.83,20.0,6.57,11.61,13.97,215.51,0.685,0.107,UREA-46,241.1
5.0,1.0,25.59,58.36,5.77,62.11,39.01,213.81,5.716,1.162,UREA-46,142.4
7.0,5.0,22.14,20.0,5.54,19.38,15.2,245.64,5.217,0.824,DAP-18-46,145.4
5.0,1.0,12.88,48.38,5.88,200.0,20.13,119.91,2.455,0.243,UREA-46,157.1
7.0,7.0,18.8,33.51,6.9,29.32,16.66,219.32,0.848,1.232,DAP-18-46,217.1
9.0,3.0,21.64,61.7,6.68,64.55,21.17,219.82,3.764,2.967,DAP-18-46,141.1
11.0,1.0,14.65,45.2,6.6,65.83,25.63,233.5,1.697,0.267,UREA-46,217.9
4.0,2.0,19.54,59.18,7.17,15.92,31.11,180.79,2.41,1.167,UREA-46,164.4
5.0,3.0,11.78,64.13,6.37,56.37,32.43,135.13,2.24,0.11,DAP-18-46,146.9
7.0,3.0,9.93,77.28,5.85,8.69,16.29,77.59,7.333,0.845,UREA-46,231.7
5.0,6.0,13.63,41.99,5.98,52.2,5.36,79.99,10.55,2.305,KCL-60,246.7
7.0,6.0,22.03,76.91,6.58,107.64,6.5,176.61,0.772,1.19,DAP-18-46,246.8
9.0,5.0,20.05,41.82,6.29,5.86,33.37,189.54,2.99,1.196,UREA-46,203.5
10.0,3.0,10.88,71.21,7.79,31.36,13.55,241.68,3.542,0.701,MAP-12-61,136.4
9.0,1.0,23.14,95.0,4.72,10.93,9.38,99.44,2.869,0.359,NPK-15-15-15,384.8
5.0,3.0,21.59,88.4,5.75,48.79,17.39,237.81,7.519,0.374,DAP-18-46,208.9
10.0,8.0,12.81,62.46,6.48,33.72,17.52,140.6,0.523,1.335,DAP-18-46,192.0
9.0,1.0,22.85,47.48,6.52,13.39,10.04,110.36,1.211,0.1,UREA-46,168.8
3.0,6.0,27.69,82.95,6.57,81.52,68.27,196.54,2.898,2.037,DAP-18-46,210.7
8.0,3.0,15.64,91.46,6.74,23.31,58.1,161.03,3.04,2.69,KCL-60,199.9
2.0,4.0,20.3,56.37,6.2,57.99,29.03,74.89,1.809,0.951,KCL-60,105.7
12.0,7.0,23.87,46.88,6.17,112.33,12.43,186.82,7.641,2.06,DAP-18-46,208.1
4.0,3.0,16.01,53.98,5.22,34.82,20.12,74.2,4.909,2.336,KCL-60,161.6
7.0,8.0,21.41,87.19,4.93,16.64,13.17,262.65,2.343,2.373,DAP-18-46,232.7
12.0,7.0,5.0,46.01,4.11,55.87,8.86,146.66,3.874,2.981,DAP-18-46,179.8
12.0,2.0,20.25,31.91,5.31,53.82,59.3,109.49,2.682,0.189,NPK-15-15-15,203.0
11.0,6.0,14.95,53.11,5.42,59.23,26.09,197.79,4.005,3.077,DAP-18-46,201.8
8.0,7.0,13.46,76.67,6.68,34.47,5.96,204.11,2.211,4.057,DAP-18-46,165.9
8.0,2.0,11.9,65.58,6.87,74.85,82.24,286.75,5.368,1.678,KNO3-13-46,90.8
5.0,3.0,11.42,80.09,7.32,79.56,45.08,165.05,4.42,0.9,DAP-18-46,127.5
2.0,1.0,17.46,83.42,6.03,71.6,62.19,255.26,2.451,5.166,KNO3-13-46,56.7
9.0,1.0,16.84,53.06,5.93,200.0,22.24,124.9,1.579,0.699,DAP-18-46,110.3
4.0,3.0,15.28,62.66,6.72,28.06,48.33,264.16,2.999,0.15,UREA-46,115.6
9.0,4.0,20.74,91.2,6.83,78.93,24.47,111.11,2.922,2.034,DAP-18-46,125.5
9.0,7.0,19.78,73.34,6.38,47.92,32.11,255.3,3.002,0.255,HUMUS-ORG,3421.8
11.0,6.0,26.22,33.31,6.55,82.94,58.57,248.84,2.541,1.318,KNO3-13-46,63.4
3.0,2.0,21.39,63.91,7.6,29.65,27.88,238.72,2.381,2.622,SA-21,242.6
11.0,4.0,21.68,74.51,6.51,71.66,40.22,216.4,1.112,0.935,KNO3-13-46,76.4
5.0,8.0,20.1,36.83,6.29,24.29,61.06,238.55,6.281,8.343,UREA-46,223.8
2.0,8.0,20.82,37.36,6.88,91.15,150.0,160.47,0.557,0.67,UREA-46,217.6
11.0,6.0,24.49,41.38,6.76,74.11,7.15,267.28,2.572,1.47,DAP-18-46,229.7
10.0,3.0,18.87,65.43,5.88,66.97,18.83,68.06,7.084,3.971,KCL-60,168.4
5.0,7.0,21.75,80.93,5.67,34.88,29.91,298.53,7.605,0.275,DAP-18-46,175.1
9.0,3.0,24.07,89.15,5.53,47.99,29.55,109.61,2.018,1.653,DAP-18-46,225.6
2.0,4.0,16.93,42.18,7.92,104.1,34.03,203.98,3.072,0.123,NPK-15-15-15,335.1
12.0,8.0,27.77,78.61,6.39,25.0,34.46,385.0,9.844,1.725,UREA-46,156.3
7.0,8.0,14.38,53.54,6.98,56.64,74.33,206.35,1.567,0.857,UREA-46,159.4
1.0,8.0,16.05,76.81,7.49,32.81,7.57,176.94,7.635,0.117,DAP-18-46,165.8
4.0,3.0,15.53,56.29,5.07,13.76,44.56,76.01,1.401,5.556,UREA-46,125.5
4.0,7.0,23.11,92.01,6.13,64.58,14.4,171.92,1.957,6.225,DAP-18-46,159.4
7.0,2.0,12.82,40.1,5.71,36.24,121.77,227.13,0.615,0.203,NPK-15-15-15,290.6
9.0,8.0,10.89,56.01,7.73,36.76,20.23,262.87,5.412,0.783,DAP-18-46,149.2
4.0,3.0,15.05,71.21,6.44,38.36,18.12,232.86,2.511,0.698,DAP-18-46,199.3
6.0,7.0,10.25,70.24,5.38,14.5,49.82,164.73,9.26,1.27,UREA-46,121.5
3.0,2.0,13.69,60.85,7.26,74.54,6.51,234.51,1.115,3.108,SA-21,199.9
6.0,4.0,21.21,87.12,5.63,36.82,15.72,107.23,6.838,0.1,NPK-10-26-26,143.7
8.0,3.0,19.75,61.63,4.19,56.58,1.0,140.02,2.771,11.585,KCL-60,253.9
2.0,5.0,24.79,78.51,6.32,18.25,37.32,165.79,0.829,1.477,SA-21,205.7
9.0,4.0,21.9,78.63,5.62,29.45,42.79,218.84,2.859,0.334,UREA-46,108.3
7.0,3.0,11.06,75.91,7.21,82.98,66.25,95.41,3.96,0.846,KCL-60,117.5
1.0,3.0,7.96,53.18,5.09,6.68,35.44,266.24,1.034,0.526,UREA-46,192.9
5.0,3.0,5.0,66.67,5.97,37.57,27.16,226.32,1.93,2.373,DAP-18-46,141.7
8.0,8.0,8.16,57.94,7.1,117.3,12.06,164.76,0.66,0.145,DAP-18-46,124.4
